Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2094.4120,NA,16.47730000000000,16.72440000000000,0.33020000000000,0.27960000000000,30.3001,2078.4023,16.3399,16.0097,0.3302,16.1264,0.1629,0.1128,0.0501,0.3156,2078.4023,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2111.2224,NA,16.79190000000000,16.72440000000000,0.00000000000000,0.01250000000000,13.4897,2094.4305,16.7919,16.7919,0.0000,0.1953,16.6091,0.3873,16.2218,-0.1973,2094.4305,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2111.1028,NA,16.69080000000000,16.73100000000000,0.35990000000000,0.86150000000000,30.3403,2094.7422,16.7205,16.3606,0.3599,16.5984,0.6237,0.6174,0.0063,-0.3911,2094.7422,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2127.6996,NA,16.47720000000000,16.73100000000000,0.00000000000000,0.16630000000000,13.7435,2111.2224,16.4772,16.4772,0.0000,0.0125,16.6310,0.4345,16.1965,0.0609,2111.2224,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2127.7614,NA,16.65860000000000,16.71570000000000,0.29090000000000,0.79350000000000,30.3974,2111.4627,16.5896,16.2987,0.2909,16.4727,0.6195,0.6133,0.0062,0.0048,2111.4627,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2144.5127,NA,16.81310000000000,16.71570000000000,0.00000000000000,0.31390000000000,13.6461,2127.6996,16.8131,16.8131,0.0000,0.1663,16.9607,0.6842,16.2765,-0.2385,2127.6996,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2144.4205,NA,16.65910000000000,16.75300000000000,0.31640000000000,0.26130000000000,30.4913,2128.0523,16.6846,16.3682,0.3164,16.4970,0.1325,0.1012,0.0313,-0.1634,2128.0523,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2161.1790,NA,16.66630000000000,16.75300000000000,0.00000000000000,0.30590000000000,13.7328,2144.5127,16.6663,16.6663,0.0000,0.3139,16.6583,0.6226,16.0357,0.0601,2144.5127,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2161.1116,NA,16.69110000000000,16.72350000000000,0.26150000000000,0.83380000000000,30.5237,2144.7369,16.6362,16.3747,0.2615,16.5053,0.7032,0.6939,0.0093,-0.0389,2144.7369,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2178.0233,NA,16.84430000000000,16.72350000000000,0.00000000000000,0.13810000000000,13.6120,2161.1790,16.8443,16.8443,0.0000,0.3059,16.6765,0.9513,15.7252,-0.0572,2161.1790,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2177.8737,NA,16.76210000000000,16.72680000000000,0.56750000000000,0.79610000000000,30.4884,2161.3731,17.0681,16.5006,0.5675,16.6767,0.6200,0.6135,0.0065,-0.0906,2161.3731,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2194.5563,NA,16.53300000000000,16.72680000000000,0.00000000000000,0.16090000000000,13.8058,2178.0233,16.5330,16.5330,0.0000,0.1381,16.5558,0.4731,16.0827,0.1175,2178.0233,NA,NA,NA
Code.exe,19316,0x27AFE9C5770,DXGI,0,0,0,Composed: Flip,2194.5919,NA,16.71820000000000,16.71010000000000,0.32970000000000,0.83370000000000,30.4803,2178.4412,16.4804,16.1507,0.3297,16.3544,0.6300,0.6227,0.0073,0.3580,2178.4412,NA,NA,NA
<unknown>,1356,0x100000000,Other,-1,0,0,Hardware: Legacy Flip,2211.2252,NA,16.66890000000000,16.71010000000000,0.00000000000000,0.16030000000000,13.8470,2194.5563,16.6689,16.6689,0.0000,0.1609,16.6683,0.5133,16.1550,-0.1771,2194.5563,NA,NA,NA
